,PP,C,timestamp,HR,RMSSD,SCL,date,subject,label,Condition,ElapsedTime
129,PP2,1,20120919T131200000,70,0.067058,99.272744,2012-09-19 13:12:00,p2,rest,R,0
130,PP2,1,20120919T131300000,71,0.057202,105.281355,2012-09-19 13:13:00,p2,rest,R,1
131,PP2,1,20120919T131400000,,,117.702669,2012-09-19 13:14:00,p2,rest,R,2
132,PP2,1,20120919T131500000,,,115.887891,2012-09-19 13:15:00,p2,rest,R,3
133,PP2,1,20120919T131600000,,,133.567248,2012-09-19 13:16:00,p2,rest,R,4
134,PP2,1,20120919T131700000,,,101.667704,2012-09-19 13:17:00,p2,rest,R,5
135,PP2,1,20120919T132100000,77,0.033452,93.391573,2012-09-19 13:21:00,p2,no stress,N,9
136,PP2,1,20120919T132200000,75,0.038485,96.098304,2012-09-19 13:22:00,p2,no stress,N,10
137,PP2,1,20120919T132300000,74,0.032061,98.229541,2012-09-19 13:23:00,p2,no stress,N,11
138,PP2,1,20120919T132400000,75,0.035849,97.062536,2012-09-19 13:24:00,p2,no stress,N,12
139,PP2,1,20120919T132500000,,,104.970683,2012-09-19 13:25:00,p2,no stress,N,13
140,PP2,1,20120919T132600000,75,0.031762,102.659187,2012-09-19 13:26:00,p2,no stress,N,14
141,PP2,1,20120919T132700000,77,0.035179,84.326779,2012-09-19 13:27:00,p2,no stress,N,15
142,PP2,1,20120919T132800000,76,0.031079,86.042558,2012-09-19 13:28:00,p2,no stress,N,16
143,PP2,1,20120919T132900000,77,0.05558,88.100183,2012-09-19 13:29:00,p2,no stress,N,17
144,PP2,1,20120919T133000000,79,0.02893,83.644879,2012-09-19 13:30:00,p2,no stress,N,18
145,PP2,1,20120919T133100000,76,0.036645,82.871359,2012-09-19 13:31:00,p2,no stress,N,19
146,PP2,1,20120919T133200000,77,0.03051,83.786947,2012-09-19 13:32:00,p2,no stress,N,20
147,PP2,1,20120919T133300000,76,0.03745,81.544525,2012-09-19 13:33:00,p2,no stress,N,21
148,PP2,1,20120919T133400000,78,0.031661,84.763722,2012-09-19 13:34:00,p2,no stress,N,22
149,PP2,1,20120919T133500000,77,0.031009,83.598632,2012-09-19 13:35:00,p2,no stress,N,23
150,PP2,1,20120919T133600000,79,0.032081,84.816785,2012-09-19 13:36:00,p2,no stress,N,24
151,PP2,1,20120919T133700000,77,0.028674,83.8407,2012-09-19 13:37:00,p2,no stress,N,25
152,PP2,1,20120919T133800000,78,0.03333,80.624918,2012-09-19 13:38:00,p2,no stress,N,26
153,PP2,1,20120919T133900000,78,0.03632,80.54103,2012-09-19 13:39:00,p2,no stress,N,27
154,PP2,1,20120919T134000000,77,0.037889,80.382446,2012-09-19 13:40:00,p2,no stress,N,28
155,PP2,1,20120919T134100000,78,0.031209,79.266277,2012-09-19 13:41:00,p2,no stress,N,29
156,PP2,1,20120919T134200000,79,0.029773,81.080237,2012-09-19 13:42:00,p2,no stress,N,30
157,PP2,1,20120919T134300000,74,0.044637,83.595097,2012-09-19 13:43:00,p2,no stress,N,31
158,PP2,1,20120919T134400000,78,0.035925,82.478524,2012-09-19 13:44:00,p2,no stress,N,32
159,PP2,1,20120919T134500000,77,0.037728,81.782772,2012-09-19 13:45:00,p2,no stress,N,33
160,PP2,1,20120919T134600000,74,0.037997,79.930828,2012-09-19 13:46:00,p2,no stress,N,34
161,PP2,1,20120919T134700000,77,0.033732,80.971084,2012-09-19 13:47:00,p2,no stress,N,35
162,PP2,1,20120919T134800000,75,0.033192,79.607103,2012-09-19 13:48:00,p2,no stress,N,36
163,PP2,1,20120919T134900000,77,0.03947,78.999275,2012-09-19 13:49:00,p2,no stress,N,37
164,PP2,1,20120919T135000000,75,0.033667,81.424595,2012-09-19 13:50:00,p2,no stress,N,38
165,PP2,1,20120919T135100000,77,0.032281,82.492451,2012-09-19 13:51:00,p2,no stress,N,39
166,PP2,1,20120919T135200000,75,0.04498,82.142825,2012-09-19 13:52:00,p2,no stress,N,40
167,PP2,1,20120919T135300000,76,0.037443,79.375762,2012-09-19 13:53:00,p2,no stress,N,41
168,PP2,1,20120919T135400000,78,0.032284,79.279167,2012-09-19 13:54:00,p2,no stress,N,42
169,PP2,1,20120919T135500000,75,0.03767,79.270753,2012-09-19 13:55:00,p2,no stress,N,43
170,PP2,1,20120919T135600000,78,0.027502,81.628947,2012-09-19 13:56:00,p2,no stress,N,44
171,PP2,1,20120919T135700000,79,0.031294,86.806251,2012-09-19 13:57:00,p2,no stress,N,45
172,PP2,1,20120919T135800000,77,0.036673,83.867194,2012-09-19 13:58:00,p2,no stress,N,46
